Description_1_Word,Description_1_Frequency,Description_2_Word,Description_2_Frequency,Description_3_Word,Description_3_Frequency,Description_4_Word,Description_4_Frequency,Description_5_Word,Description_5_Frequency,Description_6_Word,Description_6_Frequency,Overall_Word,Overall_Frequency
,0,,0,,0,,0,,0,,0,tourist,1
,0,,0,,0,,0,,0,,0,frame,1
,0,,0,,0,,0,,0,,0,fictitious,1
,0,,0,,0,,0,,0,,0,cruel,1
,0,,0,,0,,0,,0,,0,cyberpunk,1
,0,,0,,0,,0,,0,,0,gravity,1
,0,,0,,0,,0,,0,,0,defy,1
,0,,0,,0,,0,,0,,0,cityscape,1
,0,,0,,0,,0,,0,,0,nestle,1
,0,,0,,0,,0,,0,,0,verdant,1
,0,,0,,0,,0,,0,,0,environment,1
,0,,0,,0,,0,,0,,0,reminiscent,1
,0,,0,,0,,0,,0,,0,concept,1
,0,,0,,0,,0,,0,,0,three,1
,0,,0,,0,,0,,0,,0,snow,1
,0,,0,,0,,0,,0,,0,height,1
,0,,0,,0,,0,,0,,0,treehouse,1
,0,,0,,0,,0,,0,,0,brick,1
,0,,0,,0,,0,,0,,0,trunk,1
,0,,0,,0,,0,,0,,0,medieval,1
,0,,0,,0,,0,,0,,0,mansion,1
,0,,0,,0,,0,,0,,0,senerio,1
,0,,0,,0,,0,,0,,0,love,1
,0,,0,,0,,0,,0,,0,plinth,1
,0,,0,,0,,0,,0,,0,cartoonish,1
,0,,0,,0,,0,,0,,0,ghibli,1
,0,,0,,0,,0,,0,,0,isolated,1
,0,,0,,0,,0,,0,,0,amountain,1
,0,,0,,0,,0,,0,,0,edge,1
,0,,0,,0,,0,,0,,0,glinde,1
,0,,0,,0,,0,,0,,0,people,1
,0,,0,,0,,0,,0,,0,dense,1
,0,,0,,0,,0,,0,,0,believable,1
,0,,0,,0,,0,,0,,0,appropriate,1
,0,,0,,0,,0,,0,,0,mean,1
,0,,0,,0,,0,,0,,0,clolour,1
,0,,0,,0,,0,,0,,0,mirror,1
,0,,0,,0,,0,,0,,0,huge,1
,0,,0,,0,,0,,0,,0,beach,1
,0,,0,,0,,0,,0,,0,radiate,1
,0,,0,,0,,0,,0,,0,past,1
,0,,0,,0,,0,,0,,0,highveld,1
,0,,0,,0,,0,,0,,0,grad,1
,0,,0,,0,,0,,0,,0,1900s,1
,0,,0,,0,,0,,0,,0,reflective,1
,0,,0,,0,,0,,0,,0,futurisitc,1
,0,,0,,0,,0,,0,,0,include,1
,0,,0,,0,,0,,0,,0,shin,1
,0,,0,,0,,0,,0,,0,metropolis,1
,0,,0,,0,,0,,0,,0,buliding,1
,0,,0,,0,,0,,0,,0,car,1
,0,,0,,0,,0,,0,,0,scenery,1
,0,,0,,0,,0,,0,,0,vintage,1
,0,,0,,0,,0,,0,,0,clean,1
,0,,0,,0,,0,,0,,0,showcase,1
,0,,0,,0,,0,,0,,0,architecture,1
,0,,0,,0,,0,,0,,0,foreground,1
,0,,0,,0,,0,,0,,0,fantastic,1
,0,,0,,0,,0,,0,,0,fancy,1
,0,,0,,0,,0,,0,,0,bushy,1
,0,,0,,0,,0,,0,,0,overlook,1
,0,,0,,0,,0,,0,,0,video,1
,0,,0,,0,,0,,0,,0,game,1
,0,,0,,0,,0,,0,,0,civilty,1
,0,,0,,0,,0,,0,,0,amazing,1
,0,,0,,0,,0,,0,,0,otherworldly,1
,0,,0,,0,,0,,0,,0,foundation,1
,0,,0,,0,,0,,0,,0,stylized,1
,0,,0,,0,,0,,0,,0,wonderland,1
,0,,0,,0,,0,,0,,0,morning,1
,0,,0,,0,,0,,0,,0,midday,1
,0,,0,,0,,0,,0,,0,brighten,1
,0,,0,,0,,0,,0,,0,concrete,1
,0,,0,,0,,0,,0,,0,classical,1
,0,,0,,0,,0,,0,,0,painful,1
,0,,0,,0,,0,,0,,0,distress,1
,0,,0,,0,,0,,0,,0,branches,1
,0,,0,,0,,0,,0,,0,fascinator,1
,0,,0,,0,,0,,0,,0,autum,1
,0,,0,,0,,0,,0,,0,leafe,1
,0,,0,,0,,0,,0,,0,contemporary,1
,0,,0,,0,,0,,0,,0,bramble,1
,0,,0,,0,,0,,0,,0,fruit,1
,0,,0,,0,,0,,0,,0,unreal,1
,0,,0,,0,,0,,0,,0,die,1
,0,,0,,0,,0,,0,,0,hate,1
,0,,0,,0,,0,,0,,0,representational,1
,0,,0,,0,,0,,0,,0,anime,1
,0,,0,,0,,0,,0,,0,exposure,1
,0,,0,,0,,0,,0,,0,ivy,1
,0,,0,,0,,0,,0,,0,match,1
,0,,0,,0,,0,,0,,0,cohesion,1
,0,,0,,0,,0,,0,,0,unnaturally,1
,0,,0,,0,,0,,0,,0,overlaid,1
,0,,0,,0,,0,,0,,0,reddish,1
,0,,0,,0,,0,,0,,0,nicely,1
,0,,0,,0,,0,,0,,0,redness,1
,0,,0,,0,,0,,0,,0,heavily,1
,0,,0,,0,,0,,0,,0,fine,1
,0,,0,,0,,0,,0,,0,arond,1
,0,,0,,0,,0,,0,,0,smokey,1
,0,,0,,0,,0,,0,,0,decompose,1
,0,,0,,0,,0,,0,,0,log,1
,0,,0,,0,,0,,0,,0,headshot,1
,0,,0,,0,,0,,0,,0,tweak,1
,0,,0,,0,,0,,0,,0,overgrow,1
,0,,0,,0,,0,,0,,0,blind,1
,0,,0,,0,,0,,0,,0,sakura,1
,0,,0,,0,,0,,0,,0,work,1
,0,,0,,0,,0,,0,,0,ey,1
,0,,0,,0,,0,,0,,0,sight,1
,0,,0,,0,,0,,0,,0,coulorfull,1
,0,,0,,0,,0,,0,,0,frida,1
,0,,0,,0,,0,,0,,0,kahlo,1
,0,,0,,0,,0,,0,,0,withe,1
,0,,0,,0,,0,,0,,0,blush,1
,0,,0,,0,,0,,0,,0,cheek,1
,0,,0,,0,,0,,0,,0,dominate,1
,0,,0,,0,,0,,0,,0,unnerving,1
,0,,0,,0,,0,,0,,0,fairly,1
,0,,0,,0,,0,,0,,0,result,1
,0,,0,,0,,0,,0,,0,find,1
,0,,0,,0,,0,,0,,0,focal,1
,0,,0,,0,,0,,0,,0,point,1
,0,,0,,0,,0,,0,,0,vary,1
,0,,0,,0,,0,,0,,0,sorrounde,1
,0,,0,,0,,0,,0,,0,superimpose,1
,0,,0,,0,,0,,0,,0,partly,1
,0,,0,,0,,0,,0,,0,fig,1
,0,,0,,0,,0,,0,,0,drown,1
,0,,0,,0,,0,,0,,0,gallery,1
,0,,0,,0,,0,,0,,0,paris,1
,0,,0,,0,,0,,0,,0,smoky,1
,0,,0,,0,,0,,0,,0,twine,1
,0,,0,,0,,0,,0,,0,drop,1
,0,,0,,0,,0,,0,,0,outdoor,1
,0,,0,,0,,0,,0,,0,photography,1
,0,,0,,0,,0,,0,,0,traditional,1
,0,,0,,0,,0,,0,,0,bun,1
,0,,0,,0,,0,,0,,0,carnival,1
,0,,0,,0,,0,,0,,0,theatrical,1
,0,,0,,0,,0,,0,,0,mask,1
,0,,0,,0,,0,,0,,0,period,1
,0,,0,,0,,0,,0,,0,neutral,1
,0,,0,,0,,0,,0,,0,root,1
,0,,0,,0,,0,,0,,0,plantation,1
,0,,0,,0,,0,,0,,0,aa,1
,0,,0,,0,,0,,0,,0,naturalness,1
,0,,0,,0,,0,,0,,0,thin,1
,0,,0,,0,,0,,0,,0,climber,1
,0,,0,,0,,0,,0,,0,reach,1
,0,,0,,0,,0,,0,,0,gently,1
,0,,0,,0,,0,,0,,0,highlight,1
,0,,0,,0,,0,,0,,0,rubby,1
,0,,0,,0,,0,,0,,0,mixture,1
,0,,0,,0,,0,,0,,0,indigenous,1
,0,,0,,0,,0,,0,,0,north,1
,0,,0,,0,,0,,0,,0,culture,1
,0,,0,,0,,0,,0,,0,popular,1
,0,,0,,0,,0,,0,,0,poster,1
,0,,0,,0,,0,,0,,0,curl,1
,0,,0,,0,,0,,0,,0,globe,1
,0,,0,,0,,0,,0,,0,earty,1
,0,,0,,0,,0,,0,,0,ocher,1
,0,,0,,0,,0,,0,,0,anrgy,1
,0,,0,,0,,0,,0,,0,graffiti,1
,0,,0,,0,,0,,0,,0,multicoloure,1
,0,,0,,0,,0,,0,,0,rough,1
,0,,0,,0,,0,,0,,0,whirl,1
,0,,0,,0,,0,,0,,0,super,1
,0,,0,,0,,0,,0,,0,impose,1
,0,,0,,0,,0,,0,,0,blurred,1
,0,,0,,0,,0,,0,,0,backdrop,1
,0,,0,,0,,0,,0,,0,move,1
,0,,0,,0,,0,,0,,0,use,1
,0,,0,,0,,0,,0,,0,focusse,1
,0,,0,,0,,0,,0,,0,determine,1
,0,,0,,0,,0,,0,,0,frantic,1
,0,,0,,0,,0,,0,,0,sphere,1
,0,,0,,0,,0,,0,,0,harsh,1
,0,,0,,0,,0,,0,,0,arise,1
,0,,0,,0,,0,,0,,0,ashe,1
,0,,0,,0,,0,,0,,0,phoenix,1
,0,,0,,0,,0,,0,,0,lodge,1
,0,,0,,0,,0,,0,,0,street,1
,0,,0,,0,,0,,0,,0,cre,1
,0,,0,,0,,0,,0,,0,modernist,1
,0,,0,,0,,0,,0,,0,outline,1
,0,,0,,0,,0,,0,,0,mark,1
,0,,0,,0,,0,,0,,0,orangey,1
,0,,0,,0,,0,,0,,0,anstract,1
,0,,0,,0,,0,,0,,0,pallette,1
,0,,0,,0,,0,,0,,0,eather,1
,0,,0,,0,,0,,0,,0,primary,1
,0,,0,,0,,0,,0,,0,coulorful,1
,0,,0,,0,,0,,0,,0,pointed,1
,0,,0,,0,,0,,0,,0,relax,1
,0,,0,,0,,0,,0,,0,fur,1
,0,,0,,0,,0,,0,,0,predominate,1
,0,,0,,0,,0,,0,,0,3,1
,0,,0,,0,,0,,0,,0,underneath,1
,0,,0,,0,,0,,0,,0,rendering,1
,0,,0,,0,,0,,0,,0,smear,1
,0,,0,,0,,0,,0,,0,paintstroke,1
,0,,0,,0,,0,,0,,0,mouth.yellow,1
,0,,0,,0,,0,,0,,0,exact,1
,0,,0,,0,,0,,0,,0,harmonious,1
,0,,0,,0,,0,,0,,0,deep,1
,0,,0,,0,,0,,0,,0,emphasize,1
,0,,0,,0,,0,,0,,0,fragility,1
,0,,0,,0,,0,,0,,0,wildness,1
,0,,0,,0,,0,,0,,0,angry,1
,0,,0,,0,,0,,0,,0,catchy,1
,0,,0,,0,,0,,0,,0,intense,1
,0,,0,,0,,0,,0,,0,dynamic,1
,0,,0,,0,,0,,0,,0,opne,1
,0,,0,,0,,0,,0,,0,motivate,1
,0,,0,,0,,0,,0,,0,escape,1
,0,,0,,0,,0,,0,,0,fiery,1
,0,,0,,0,,0,,0,,0,flame,1
,0,,0,,0,,0,,0,,0,ccolor,1
,0,,0,,0,,0,,0,,0,dramatic,1
,0,,0,,0,,0,,0,,0,powerful,1
,0,,0,,0,,0,,0,,0,capture,1
,0,,0,,0,,0,,0,,0,spatter,1
,0,,0,,0,,0,,0,,0,thite,1
,0,,0,,0,,0,,0,,0,spin,1
,0,,0,,0,,0,,0,,0,menacing,1
,0,,0,,0,,0,,0,,0,symbolic,1
,0,,0,,0,,0,,0,,0,canvas,1
,0,,0,,0,,0,,0,,0,curved,1
,0,,0,,0,,0,,0,,0,ugly,1
,0,,0,,0,,0,,0,,0,defend,1
,0,,0,,0,,0,,0,,0,alertness,1
,0,,0,,0,,0,,0,,0,scatter,1
,0,,0,,0,,0,,0,,0,peel,1
,0,,0,,0,,0,,0,,0,range,1
,0,,0,,0,,0,,0,,0,associate,1
,0,,0,,0,,0,,0,,0,imagine,1
,0,,0,,0,,0,,0,,0,allegorical,1
,0,,0,,0,,0,,0,,0,unconnected,1
,0,,0,,0,,0,,0,,0,random,1
,0,,0,,0,,0,,0,,0,trap,1
,0,,0,,0,,0,,0,,0,product,1
,0,,0,,0,,0,,0,,0,mutant,1
,0,,0,,0,,0,,0,,0,scientific,1
,0,,0,,0,,0,,0,,0,experiment,1
,0,,0,,0,,0,,0,,0,dehumanise,1
,0,,0,,0,,0,,0,,0,attached,1
,0,,0,,0,,0,,0,,0,lump,1
,0,,0,,0,,0,,0,,0,differ,1
,0,,0,,0,,0,,0,,0,shell,1
,0,,0,,0,,0,,0,,0,blob,1
,0,,0,,0,,0,,0,,0,meld,1
,0,,0,,0,,0,,0,,0,hard,1
,0,,0,,0,,0,,0,,0,streak,1
,0,,0,,0,,0,,0,,0,dot,1
,0,,0,,0,,0,,0,,0,memory,1
,0,,0,,0,,0,,0,,0,mannequin,1
,0,,0,,0,,0,,0,,0,dystopian,1
,0,,0,,0,,0,,0,,0,nightmare,1
,0,,0,,0,,0,,0,,0,disembodied,1
,0,,0,,0,,0,,0,,0,incongruous,1
,0,,0,,0,,0,,0,,0,emotion,1
,0,,0,,0,,0,,0,,0,confused,1
,0,,0,,0,,0,,0,,0,overall,1
,0,,0,,0,,0,,0,,0,cobwebs,1
,0,,0,,0,,0,,0,,0,miniature,1
,0,,0,,0,,0,,0,,0,skull,1
,0,,0,,0,,0,,0,,0,insect,1
,0,,0,,0,,0,,0,,0,distressed,1
,0,,0,,0,,0,,0,,0,break,1
,0,,0,,0,,0,,0,,0,apart,1
,0,,0,,0,,0,,0,,0,device,1
,0,,0,,0,,0,,0,,0,lifeless,1
,0,,0,,0,,0,,0,,0,crush,1
,0,,0,,0,,0,,0,,0,fight,1
,0,,0,,0,,0,,0,,0,anymore,1
,0,,0,,0,,0,,0,,0,lack,1
,0,,0,,0,,0,,0,,0,struggle,1
,0,,0,,0,,0,,0,,0,crushed,1
,0,,0,,0,,0,,0,,0,appendage,1
,0,,0,,0,,0,,0,,0,bad,1
,0,,0,,0,,0,,0,,0,idol,1
,0,,0,,0,,0,,0,,0,frightening,1
,0,,0,,0,,0,,0,,0,protuberance,1
,0,,0,,0,,0,,0,,0,cyborg,1
,0,,0,,0,,0,,0,,0,characteristic,1
,0,,0,,0,,0,,0,,0,egg,1
,0,,0,,0,,0,,0,,0,sickness,1
,0,,0,,0,,0,,0,,0,mould,1
,0,,0,,0,,0,,0,,0,unrecognizable,1
,0,,0,,0,,0,,0,,0,extremely,1
,0,,0,,0,,0,,0,,0,bulbous,1
,0,,0,,0,,0,,0,,0,kid,1
,0,,0,,0,,0,,0,,0,monotone,1
,0,,0,,0,,0,,0,,0,piece,1
,0,,0,,0,,0,,0,,0,anatomy,1
,0,,0,,0,,0,,0,,0,furutristic,1
,0,,0,,0,,0,,0,,0,elemnt,1
,0,,0,,0,,0,,0,,0,augment,1
,0,,0,,0,,0,,0,,0,damaged,1
,0,,0,,0,,0,,0,,0,pinkish,1
,0,,0,,0,,0,,0,,0,scull,1
,0,,0,,0,,0,,0,,0,unidentifiable,1
,0,,0,,0,,0,,0,,0,childlike,1
,0,,0,,0,,0,,0,,0,mangle,1
,0,,0,,0,,0,,0,,0,flesh,1
,0,,0,,0,,0,,0,,0,science,1
,0,,0,,0,,0,,0,,0,fiction,1
,0,,0,,0,,0,,0,,0,grayish,1
,0,,0,,0,,0,,0,,0,stalk,1
,0,,0,,0,,0,,0,,0,drab,1
,0,,0,,0,,0,,0,,0,run,1
,0,,0,,0,,0,,0,,0,sinister,1
,0,,0,,0,,0,,0,,0,scattered,1
,0,,0,,0,,0,,0,,0,sorrowful,1
,0,,0,,0,,0,,0,,0,sword,1
,0,,0,,0,,0,,0,,0,knife,1
,0,,0,,0,,0,,0,,0,eyebrow,1
,0,,0,,0,,0,,0,,0,eyelash,1
,0,,0,,0,,0,,0,,0,infest,1
,0,,0,,0,,0,,0,,0,sticky,1
,0,,0,,0,,0,,0,,0,insidious,1
,0,,0,,0,,0,,0,,0,deformed,1
,0,,0,,0,,0,,0,,0,frontal,1
,0,,0,,0,,0,,0,,0,specifically,1
,0,,0,,0,,0,,0,,0,mechanical,1
,0,,0,,0,,0,,0,,0,spike,1
,0,,0,,0,,0,,0,,0,unpleasant,1
,0,,0,,0,,0,,0,,0,heard,1
,0,,0,,0,,0,,0,,0,mans,1
,0,,0,,0,,0,,0,,0,nerve,1
,0,,0,,0,,0,,0,,0,organism,1
,0,,0,,0,,0,,0,,0,symbolize,1
,0,,0,,0,,0,,0,,0,disfigure,1
,0,,0,,0,,0,,0,,0,suppose,1
,0,,0,,0,,0,,0,,0,distort,1
,0,,0,,0,,0,,0,,0,eerie,1
,0,,0,,0,,0,,0,,0,challenge,1
,0,,0,,0,,0,,0,,0,perception,1
,0,,0,,0,,0,,0,,0,explosion,1
,0,,0,,0,,0,,0,,0,boy,1
,0,,0,,0,,0,,0,,0,graphic,1
,0,,0,,0,,0,,0,,0,spocky,1
,0,,0,,0,,0,,0,,0,burst,1
,0,,0,,0,,0,,0,,0,blow,1
,0,,0,,0,,0,,0,,0,steampunk,1
,0,,0,,0,,0,,0,,0,doll,1
,0,,0,,0,,0,,0,,0,exaggerated,1
,0,,0,,0,,0,,0,,0,facial,1
,0,,0,,0,,0,,0,,0,popping,1
,0,,0,,0,,0,,0,,0,cluster,1
,0,,0,,0,,0,,0,,0,six,1
,0,,0,,0,,0,,0,,0,decadency,1
,0,,0,,0,,0,,0,,0,vertically,1
,0,,0,,0,,0,,0,,0,haunting,1
,0,,0,,0,,0,,0,,0,distorted,1
,0,,0,,0,,0,,0,,0,bulge,1
,0,,0,,0,,0,,0,,0,outward,1
,0,,0,,0,,0,,0,,0,demonic,1
,0,,0,,0,,0,,0,,0,swollen,1
,0,,0,,0,,0,,0,,0,juice,1
,0,,0,,0,,0,,0,,0,melt,1
,0,,0,,0,,0,,0,,0,3d,1
,0,,0,,0,,0,,0,,0,lamp,1
,0,,0,,0,,0,,0,,0,virus,1
,0,,0,,0,,0,,0,,0,weapon,1
,0,,0,,0,,0,,0,,0,allude,1
,0,,0,,0,,0,,0,,0,violent,1
,0,,0,,0,,0,,0,,0,death,1
,0,,0,,0,,0,,0,,0,gore,1
,0,,0,,0,,0,,0,,0,ish,1
,0,,0,,0,,0,,0,,0,horrific,1
,0,,0,,0,,0,,0,,0,illustrate,1
,0,,0,,0,,0,,0,,0,owlet,1
,0,,0,,0,,0,,0,,0,ambivalent,1
,0,,0,,0,,0,,0,,0,naturalistic,1
,0,,0,,0,,0,,0,,0,representative,1
,0,,0,,0,,0,,0,,0,troubling,1
,0,,0,,0,,0,,0,,0,misty,1
,0,,0,,0,,0,,0,,0,th,1
,0,,0,,0,,0,,0,,0,tim,1
,0,,0,,0,,0,,0,,0,burton,1
,0,,0,,0,,0,,0,,0,meet,1
,0,,0,,0,,0,,0,,0,pixar,1
,0,,0,,0,,0,,0,,0,far,1
,0,,0,,0,,0,,0,,0,dreary,1
,0,,0,,0,,0,,0,,0,sholder,1
,0,,0,,0,,0,,0,,0,suspendend,1
,0,,0,,0,,0,,0,,0,end,1
,0,,0,,0,,0,,0,,0,unnatural,1
,0,,0,,0,,0,,0,,0,disproportionately,1
,0,,0,,0,,0,,0,,0,sixe,1
,0,,0,,0,,0,,0,,0,beard,1
,0,,0,,0,,0,,0,,0,dream,1
,0,,0,,0,,0,,0,,0,sparse,1
,0,,0,,0,,0,,0,,0,forebode,1
,0,,0,,0,,0,,0,,0,purple,1
,0,,0,,0,,0,,0,,0,remove,1
,0,,0,,0,,0,,0,,0,ability,1
,0,,0,,0,,0,,0,,0,horizon,1
,0,,0,,0,,0,,0,,0,curiosity,1
,0,,0,,0,,0,,0,,0,limit,1
,0,,0,,0,,0,,0,,0,analyse,1
,0,,0,,0,,0,,0,,0,fog,1
,0,,0,,0,,0,,0,,0,void,1
,0,,0,,0,,0,,0,,0,imagination,1
,0,,0,,0,,0,,0,,0,separate,1
,0,,0,,0,,0,,0,,0,sowa,1
,0,,0,,0,,0,,0,,0,z,1
,0,,0,,0,,0,,0,,0,drugim,1
,0,,0,,0,,0,,0,,0,ptakiem,1
,0,,0,,0,,0,,0,,0,za,1
,0,,0,,0,,0,,0,,0,nim,1
,0,,0,,0,,0,,0,,0,na,1
,0,,0,,0,,0,,0,,0,gałęzi,1
,0,,0,,0,,0,,0,,0,w,1
,0,,0,,0,,0,,0,,0,dali,1
,0,,0,,0,,0,,0,,0,widac,1
,0,,0,,0,,0,,0,,0,chmury,1
,0,,0,,0,,0,,0,,0,góry,1
,0,,0,,0,,0,,0,,0,decorate,1
,0,,0,,0,,0,,0,,0,say,1
,0,,0,,0,,0,,0,,0,ride,1
,0,,0,,0,,0,,0,,0,bed,1
,0,,0,,0,,0,,0,,0,composite,1
,0,,0,,0,,0,,0,,0,feathery,1
,0,,0,,0,,0,,0,,0,distant,1
,0,,0,,0,,0,,0,,0,fat,1
,0,,0,,0,,0,,0,,0,babysitte,1
,0,,0,,0,,0,,0,,0,gidital,1
,0,,0,,0,,0,,0,,0,finch,1
,0,,0,,0,,0,,0,,0,desert,1
,0,,0,,0,,0,,0,,0,bloom,1
,0,,0,,0,,0,,0,,0,sweet,1
,0,,0,,0,,0,,0,,0,emphasise,1
,0,,0,,0,,0,,0,,0,dull,1
,0,,0,,0,,0,,0,,0,sparrow,1
,0,,0,,0,,0,,0,,0,flat,1
,0,,0,,0,,0,,0,,0,tan,1
,0,,0,,0,,0,,0,,0,inside,1
,0,,0,,0,,0,,0,,0,stylised,1
,0,,0,,0,,0,,0,,0,hollowed,1
,0,,0,,0,,0,,0,,0,pinecone,1
,0,,0,,0,,0,,0,,0,rocky,1
,0,,0,,0,,0,,0,,0,simple,1
,0,,0,,0,,0,,0,,0,complex,1
,0,,0,,0,,0,,0,,0,assemblage,1
,0,,0,,0,,0,,0,,0,inorganic,1
,0,,0,,0,,0,,0,,0,serenity,1
,0,,0,,0,,0,,0,,0,2,1
,0,,0,,0,,0,,0,,0,fierce,1
,0,,0,,0,,0,,0,,0,second,1
,0,,0,,0,,0,,0,,0,t.he,1
,0,,0,,0,,0,,0,,0,eliminate,1
,0,,0,,0,,0,,0,,0,friendship,1
,0,,0,,0,,0,,0,,0,exist,1
,0,,0,,0,,0,,0,,0,dewy,1
,0,,0,,0,,0,,0,,0,liitlle,1
,0,,0,,0,,0,,0,,0,baskt,1
,0,,0,,0,,0,,0,,0,bouquet,1
,0,,0,,0,,0,,0,,0,imaginative,1
,0,,0,,0,,0,,0,,0,arrangement,1
,0,,0,,0,,0,,0,,0,fluffed,1
,0,,0,,0,,0,,0,,0,offspring,1
,0,,0,,0,,0,,0,,0,intricately,1
,0,,0,,0,,0,,0,,0,bead,1
,0,,0,,0,,0,,0,,0,stunning,1
,0,,0,,0,,0,,0,,0,textured,1
,0,,0,,0,,0,,0,,0,mystical,1
,0,,0,,0,,0,,0,,0,appearance,1
,0,,0,,0,,0,,0,,0,motion,1
,0,,0,,0,,0,,0,,0,delicacy,1
,0,,0,,0,,0,,0,,0,nesting,1
,0,,0,,0,,0,,0,,0,scarecrow,1
,0,,0,,0,,0,,0,,0,od,1
,0,,0,,0,,0,,0,,0,acorn,1
,0,,0,,0,,0,,0,,0,hybrid,1
,0,,0,,0,,0,,0,,0,majestic,1
,0,,0,,0,,0,,0,,0,camouflage,1
,0,,0,,0,,0,,0,,0,shift,1
,0,,0,,0,,0,,0,,0,peace,1
